coord,day,delay,description,end_date,from,geometry,hour,id,latitude,length,longitude,to
"{'x': -73.9743662, 'y': 40.7783631}",Tuesday,0,4,2020-02-25 05:43:59+00:00,Central Park W,POINT (-73.97436620000001 40.7783631),5.0,TTR5158489041614001,40.7783631,272,-73.9743662,Broadway
"{'x': -73.9803143, 'y': 40.7544967}",Thursday,1,2,2020-02-13 17:41:00+00:00,5th Ave (50th St),POINT (-73.9803143 40.7544967),17.0,TTL5159643158406005,40.7544967,299,-73.98031429999997,Park Ave (E 50th St)
"{'x': -73.9851146, 'y': 40.7730232}",Thursday,1,2,2020-02-13 17:41:00+00:00,Broadway,POINT (-73.9851146 40.7730232),17.0,TTL5157911932806006,40.7730232,487,-73.98511459999997,Central Park W
"{'x': -73.985892, 'y': 40.7671613}",Tuesday,0,4,2020-03-31 04:43:59+00:00,W 57th St (7th Ave),POINT (-73.98589200000001 40.7671613),4.0,TTR5159066100004001,40.7671613,78,-73.985892,W 50th St (7th Ave)
"{'x': -73.9823474, 'y': 40.7537168}",Thursday,1,2,2020-02-13 17:41:00+00:00,6th Ave/Avenue of the Americas (W 48th St),POINT (-73.98234739999999 40.7537168),17.0,TTL5159643158406004,40.75371679999999,421,-73.98234740000002,Park Ave (E 48th St)
"{'x': -74.0010253, 'y': 40.7952355}",Thursday,4,5,2020-02-13 23:45:00+00:00,Park Ave,POINT (-74.00102529999999 40.7952355),23.0,TTR5155603627205001,40.7952355,222,-74.00102530000002,Broadway
"{'x': -74.0007832, 'y': 40.7714391}",Thursday,0,1,2020-02-13 19:45:00+00:00,56th St (West End Ave/NY-9A),POINT (-74.0007832 40.7714391),19.0,TTR5159643106521000,40.7714391,7538,-74.0007832,South St (West St/NY-9A)
"{'x': -73.9883754, 'y': 40.7699884}",Thursday,0,1,2020-02-13 19:45:00+00:00,W 59th St exit [8],POINT (-73.9883754 40.7699884),19.0,TTR5157334801601000,40.7699884,43,-73.98837540000002,W 59th St exit [8]
"{'x': -73.9885845, 'y': 40.7696507}",Thursday,0,1,2020-02-13 19:45:00+00:00,57th St (NY-9A),POINT (-73.9885845 40.7696507),19.0,TTR5157334802401000,40.76965070000001,116,-73.9885845,NY-9A/72nd St/Exit 9 (NY-9A)
"{'x': -73.9989377, 'y': 40.7751529}",Sunday,0,1,2020-02-23 04:59:00+00:00,NY-9A/72nd St/Exit 9 (NY-9A),POINT (-73.9989377 40.7751529),4.0,TTR5157334844809000,40.7751529,267,-73.9989377,57th St (NY-9A)
"{'x': -73.9864245, 'y': 40.7623772}",Thursday,2,3,2020-02-13 17:41:00+00:00,W 42nd St (10th Ave),POINT (-73.9864245 40.7623772),17.0,TTL5158488991212011,40.7623772,726,-73.9864245,W 59th St (10th Ave)
"{'x': -73.9944357, 'y': 40.7555376}",Thursday,3,9,2020-02-13 17:43:00+00:00,9th Ave,POINT (-73.9944357 40.7555376),17.0,TTL5159066064006003,40.7555376,248,-73.99443570000003,8th Ave
"{'x': -73.9928059, 'y': 40.7664243}",Thursday,1,2,2020-02-13 17:41:00+00:00,W 59th St exit [8],POINT (-73.99280589999999 40.7664243),17.0,TTL5157911904006003,40.7664243,444,-73.99280590000002,9th Ave
"{'x': -73.9933736, 'y': 40.7569237}",Thursday,2,3,2020-02-13 17:59:00+00:00,W 42nd St (7th Ave),POINT (-73.9933736 40.7569237),17.0,TTL5159643136812016,40.7569237,953,-73.9933736,W 23rd St (7th Ave)
"{'x': -73.9891565, 'y': 40.7631231}",Thursday,3,9,2020-02-13 17:48:00+00:00,9th Ave (W 56th St),POINT (-73.98915650000001 40.7631231),17.0,TTL5158488998414003,40.7631231,275,-73.98915649999998,8th Ave (W 56th St)
"{'x': -73.9884372, 'y': 40.7637205}",Thursday,2,3,2020-02-13 17:46:00+00:00,9th Ave (W 57th St),POINT (-73.98843720000001 40.7637205),17.0,TTL5159066092812007,40.76372050000001,1104,-73.98843719999998,E 57th St (W 57th St)
"{'x': -73.9819468, 'y': 40.7831994}",Thursday,4,5,2020-02-13 23:45:00+00:00,W End Ave,POINT (-73.9819468 40.7831994),23.0,TTR5157334852807000,40.7831994,180,-73.9819468,Manhattan
"{'x': -73.9895948, 'y': 40.7620755}",Tuesday,0,12,2020-03-03 05:43:59+00:00,W 50th St (7th Ave),POINT (-73.98959480000001 40.7620755),5.0,TTR5159643165604004,40.7620755,49,-73.98959479999998,Broadway/W 45th St (7th Ave)
"{'x': -73.9863363, 'y': 40.7619396}",Thursday,3,9,2020-02-13 18:11:00+00:00,8th Ave,POINT (-73.9863363 40.7619396),18.0,TTL5158488998406009,40.7619396,274,-73.9863363,7th Ave
"{'x': -73.9859139, 'y': 40.7519261}",Thursday,2,3,2020-02-13 17:42:00+00:00,Avenue of the Americas,POINT (-73.9859139 40.7519261),17.0,TTL5159643129606000,40.7519261,440,-73.98591390000001,Madison Ave
"{'x': -73.9854813, 'y': 40.7500593}",Thursday,1,2,2020-02-13 17:41:00+00:00,6th Ave/Avenue of the Americas (W 42nd St),POINT (-73.9854813 40.7500593),17.0,TTL5159643129612018,40.7500593,396,-73.9854813,Park Ave (E 42nd St)
"{'x': -74.0106639, 'y': 40.7475494}",Thursday,2,3,2020-02-13 17:41:00+00:00,12th Ave,POINT (-74.0106639 40.7475494),17.0,TTL5159066035206009,40.7475494,471,-74.01066390000003,10th Ave
"{'x': -74.00057, 'y': 40.7379034}",Sunday,0,4,2020-03-29 04:43:59+00:00,Gansevoort St / Greenwich St,POINT (-74.00057 40.7379034),4.0,TTR5159643092806001,40.7379034,24,-74.00057,W 13th St
"{'x': -74.052664, 'y': 40.7356661}",Thursday,2,3,2020-02-13 17:41:00+00:00,Palisade Ave (Newark Ave),POINT (-74.05266399999999 40.7356661),17.0,TTL5157911805604005,40.7356661,209,-74.05266400000002,CR-501/John F Kennedy Blvd (Newark Ave)
"{'x': -74.0470291, 'y': 40.7365485}",Saturday,0,6,2020-02-15 04:59:59+00:00,I-78/Jersey Ave (NJ-139),POINT (-74.0470291 40.7365485),4.0,TTR5158488897617001,40.7365485,956,-74.0470291,US-1-9 (NJ-139)
"{'x': -74.0474884, 'y': 40.7513714}",Thursday,3,9,2020-02-13 17:41:00+00:00,Congress St,POINT (-74.04748840000001 40.7513714),17.0,TTL5157334759206000,40.7513714,187,-74.0474884,South St
"{'x': -74.0394898, 'y': 40.725202}",Friday,0,4,2020-02-14 04:35:04+00:00,Boyle Plz (Holland Tunnel (Eastbound)),POINT (-74.0394898 40.725202),4.0,TTR5159065976001003,40.725202,73,-74.0394898,Laight St/Hudson St (Holland Tunnel (Eastbound))
"{'x': -74.0321994, 'y': 40.7340833}",Thursday,2,3,2020-02-13 17:41:00+00:00,Laight St/Hudson St (Holland Tunnel (Eastbound)),POINT (-74.0321994 40.7340833),17.0,TTL5159065990401025,40.7340833,294,-74.03219940000002,Boyle Plz (Holland Tunnel (Eastbound))
"{'x': -74.040686, 'y': 40.7514358}",Thursday,0,8,2020-02-13 21:45:00+00:00,11th St,POINT (-74.04068599999999 40.7514358),21.0,TTR5157911852006003,40.7514358,70,-74.040686,10th St
"{'x': -74.027748, 'y': 40.7523579}",Friday,4,5,2020-02-14 04:59:59+00:00,13th St,POINT (-74.027748 40.7523579),4.0,TTR5156757648806000,40.7523579,142,-74.027748,14th St
"{'x': -74.0394159, 'y': 40.7557588}",Friday,4,5,2020-02-14 04:59:59+00:00,Jefferson St / 14th St,POINT (-74.03941589999999 40.7557588),4.0,TTR5156757692006001,40.7557588,153,-74.03941590000002,13th St / Jefferson St
"{'x': -74.0271095, 'y': 40.7512017}",Friday,4,5,2020-02-14 04:59:59+00:00,12th St,POINT (-74.02710949999999 40.7512017),4.0,TTR5156757648806004,40.7512017,108,-74.0271095,13th St
"{'x': -74.0112919, 'y': 40.739812}",Thursday,1,2,2020-02-13 17:41:00+00:00,11th Ave,POINT (-74.0112919 40.739812),17.0,TTL5159643100806001,40.739812,378,-74.01129190000002,9th Ave
"{'x': -74.0081943, 'y': 40.7416475}",Tuesday,0,4,2020-02-18 05:43:59+00:00,Washington St,POINT (-74.0081943 40.7416475),5.0,TTR5159643112806003,40.7416475,133,-74.0081943,West St
"{'x': -74.0031455, 'y': 40.7501708}",Tuesday,0,12,2020-03-03 05:43:59+00:00,10th Ave,POINT (-74.0031455 40.7501708),5.0,TTR5159066049606003,40.7501708,177,-74.0031455,11th Ave
"{'x': -74.0028233, 'y': 40.744325}",Sunday,0,4,2020-03-29 04:43:59+00:00,9th Ave,POINT (-74.0028233 40.744325),4.0,TTR5159643115206003,40.744325,155,-74.0028233,10th Ave
"{'x': -74.0023406, 'y': 40.744127}",Sunday,0,4,2020-03-29 04:43:59+00:00,Hudson St,POINT (-74.0023406 40.744127),4.0,TTR5159643115204001,40.744127,56,-74.0023406,9th Ave
"{'x': -73.9998837, 'y': 40.7540386}",Thursday,1,2,2020-02-13 17:41:00+00:00,30th St (NY-9A),POINT (-73.9998837 40.7540386),17.0,TTL5157911896817001,40.7540386,638,-73.99988370000001,42nd St (NY-9A)
"{'x': -74.0018478, 'y': 40.7457447}",Thursday,2,3,2020-02-13 17:41:00+00:00,9th Ave (W 15th St),POINT (-74.00184779999999 40.7457447),17.0,TTL5159643115214001,40.7457447,269,-74.00184780000002,10th Ave (W 15th St)
"{'x': -74.0013308, 'y': 40.7454968}",Sunday,0,12,2020-03-29 04:43:59+00:00,8th Ave (W 15th St),POINT (-74.00133080000001 40.7454968),4.0,TTR5159643115206001,40.7454968,13,-74.00133079999998,9th Ave (W 15th St)
"{'x': -74.0001109, 'y': 40.7465956}",Thursday,3,9,2020-02-13 17:41:00+00:00,8th Ave,POINT (-74.0001109 40.7465956),17.0,TTL5159643115206002,40.7465956,84,-74.00011090000002,9th Ave
"{'x': -74.0060855, 'y': 40.7359026}",Saturday,0,13,2020-02-22 04:59:59+00:00,9th Ave/Hudson St (W 14th St),POINT (-74.0060855 40.7359026),4.0,TTR5159643100806001,40.7359026,52,-74.0060855,8th Ave (W 14th St)
"{'x': -74.005683, 'y': 40.7389883}",Thursday,1,2,2020-02-13 17:41:00+00:00,9th Ave (W 18th St),POINT (-74.005683 40.7389883),17.0,TTL5159643100814000,40.7389883,464,-74.00568299999998,7th Ave (W 18th St)
"{'x': -73.9994821, 'y': 40.7438322}",Saturday,0,13,2020-02-22 04:59:59+00:00,8th Ave (W 14th St),POINT (-73.99948209999999 40.7438322),4.0,TTR5159643115206002,40.74383220000001,52,-73.9994821,9th Ave/Hudson St (W 14th St)
"{'x': -73.9994458, 'y': 40.7591925}",Sunday,0,10,2020-03-22 04:43:59+00:00,NY-495/Lincoln Tunnel Expy (W 33rd St),POINT (-73.9994458 40.7591925),4.0,TTR5158488984014001,40.7591925,250,-73.9994458,NY-9A/West Side Hwy/12th Ave (W 33rd St)
"{'x': -74.0049938, 'y': 40.7516863}",Wednesday,0,13,2020-09-23 03:59:59+00:00,NY-9A (W 34th St),POINT (-74.00499379999999 40.7516863),3.0,TTR5158488969601002,40.7516863,35,-74.0049938,10th Ave (W 34th St)
"{'x': -73.9986453, 'y': 40.7597255}",Wednesday,0,13,2020-09-23 03:59:59+00:00,10th Ave (W 34th St),POINT (-73.99864530000001 40.7597255),3.0,TTR5158488984001000,40.7597255,35,-73.99864529999998,NY-9A (W 34th St)
"{'x': -73.995737, 'y': 40.7495906}",Thursday,2,3,2020-02-13 17:41:00+00:00,29th St (10th Ave),POINT (-73.99573700000001 40.7495906),17.0,TTL5158488933612007,40.74959060000001,344,-73.995737,W 34th St (10th Ave)
"{'x': -74.0041147, 'y': 40.7504389}",Thursday,0,4,2020-02-20 05:43:59+00:00,NY-9A/West Side Hwy/12th Ave (W 33rd St),POINT (-74.0041147 40.7504389),5.0,TTR5158488969607001,40.7504389,142,-74.0041147,NY-495/Lincoln Tunnel Expy (W 33rd St)
"{'x': -74.0055766, 'y': 40.7578332}",Tuesday,0,4,2020-03-31 04:43:59+00:00,W 34th St / Hudson Blvd E,POINT (-74.0055766 40.7578332),4.0,TTR5158488976807001,40.75783320000001,85,-74.0055766,Hudson Blvd / W 33rd St
"{'x': -74.0025001, 'y': 40.7506417}",Thursday,2,3,2020-02-13 17:54:00+00:00,NY-9A (W 34th St),POINT (-74.00250010000001 40.7506417),17.0,TTL5159066035209004,40.7506417,861,-74.00250009999998,7th Ave/Fashion Ave (W 34th St)
"{'x': -74.002579, 'y': 40.7421496}",Thursday,2,3,2020-02-13 17:45:00+00:00,9th Ave,POINT (-74.002579 40.7421496),17.0,TTL5159643100806000,40.74214960000001,703,-74.002579,5th Ave
"{'x': -74.0024697, 'y': 40.7523139}",Thursday,2,3,2020-02-13 18:00:00+00:00,Lincoln Tunl E / 11th Ave,POINT (-74.00246970000001 40.7523139),18.0,TTL5159066064004046,40.7523139,942,-74.0024697,7th Ave
"{'x': -73.9967165, 'y': 40.7564209}",Saturday,0,4,2020-04-04 04:43:59+00:00,8th Ave (W 31st St),POINT (-73.99671650000001 40.7564209),4.0,TTR5158488955206002,40.7564209,9,-73.9967165,NY-495/Lincoln Tunnel Expy/Dyer Ave (W 31st St)
"{'x': -74.0020953, 'y': 40.7471893}",Thursday,3,9,2020-02-13 17:46:00+00:00,Lincoln Tunnel (W 30th St),POINT (-74.00209529999999 40.7471893),17.0,TTL5159643129604019,40.7471893,788,-74.0020953,6th Ave (W 30th St)
"{'x': -73.9960695, 'y': 40.7577758}",Thursday,0,4,2020-02-20 05:43:59+00:00,NY-495/Lincoln Tunnel Expy (W 33rd St),POINT (-73.9960695 40.7577758),5.0,TTR5158488955206003,40.7577758,215,-73.99606949999998,NY-9A/West Side Hwy/12th Ave (W 33rd St)
"{'x': -74.0009489, 'y': 40.7409763}",Thursday,2,3,2020-02-13 17:42:00+00:00,8th Ave (W 23rd St),POINT (-74.0009489 40.7409763),17.0,TTL5159643100804015,40.7409763,497,-74.00094890000003,6th Ave/Avenue of the Americas (W 23rd St)
"{'x': -73.9947077, 'y': 40.7555985}",Monday,4,5,2020-11-23 05:44:00+00:00,8th Ave (W 31st St),POINT (-73.99470770000001 40.7555985),5.0,TTR5159643144006007,40.7555985,161,-73.9947077,NY-495/Lincoln Tunnel Expy/Dyer Ave (W 31st St)
"{'x': -74.0007872, 'y': 40.7434146}",Thursday,3,9,2020-02-13 17:52:00+00:00,9th Ave,POINT (-74.0007872 40.7434146),17.0,TTL5159643129606006,40.7434146,837,-74.00078719999998,Broadway
"{'x': -74.0002259, 'y': 40.7596136}",Thursday,3,9,2020-02-13 18:06:00+00:00,12th Ave,POINT (-74.0002259 40.7596136),18.0,TTL5159066064006011,40.7596136,893,-74.0002259,8th Ave
"{'x': -73.991712, 'y': 40.7449063}",Thursday,2,3,2020-02-13 17:49:00+00:00,W 23rd St (8th Ave),POINT (-73.99171200000001 40.7449063),17.0,TTL5159066056812018,40.7449063,875,-73.99171199999998,W 42nd St (8th Ave)
"{'x': -73.9922701, 'y': 40.7607515}",Thursday,1,2,2020-02-13 17:34:00+00:00,40th St (Lincoln Tunnel),POINT (-73.9922701 40.7607515),17.0,TTL5158488983208014,40.76075150000001,2485,-73.99227009999998,Lincoln Tunnel West (Lincoln Tunnel)
"{'x': -74.0023092, 'y': 40.7467816}",Thursday,2,3,2020-02-13 18:12:00+00:00,9th Ave,POINT (-74.0023092 40.7467816),18.0,TTL5159643129606005,40.7467816,1094,-74.00230920000001,Park Ave S
"{'x': -73.9934079, 'y': 40.7617981}",Thursday,1,2,2020-02-13 17:31:00+00:00,10th Ave/40th St (NY-495),POINT (-73.99340789999999 40.7617981),17.0,TTL5157334822440001,40.7617981,805,-73.99340790000002,Toll Plaza (NJ-495)
"{'x': -73.9992265, 'y': 40.7393959}",Thursday,2,3,2020-02-13 17:52:00+00:00,7th Ave,POINT (-73.99922650000001 40.7393959),17.0,TTL5160220195206022,40.7393959,273,-73.9992265,Avenue of the Americas
"{'x': -73.9988042, 'y': 40.7523773}",Thursday,2,3,2020-02-13 18:01:00+00:00,Lincoln Tunl E / 11th Ave,POINT (-73.9988042 40.7523773),18.0,TTL5159066035206007,40.7523773,1584,-73.9988042,Park Ave
"{'x': -73.9900205, 'y': 40.7370162}",Thursday,2,3,2020-02-13 17:46:00+00:00,W 13th St (6th Ave),POINT (-73.9900205 40.7370162),17.0,TTL5160220159212006,40.7370162,1096,-73.9900205,W 34th St (6th Ave)
"{'x': -73.9980601, 'y': 40.735781}",Thursday,2,3,2020-02-13 17:47:00+00:00,6th Ave/Avenue of the Americas (W 18th St),POINT (-73.9980601 40.735781),17.0,TTL5160220195206001,40.735781,468,-73.99806009999998,Broadway (E 18th St)
"{'x': -73.9978501, 'y': 40.7535946}",Thursday,2,3,2020-02-13 18:07:00+00:00,W 40 St exit [6],POINT (-73.99785009999999 40.7535946),18.0,TTL5159066064004007,40.7535946,944,-73.9978501,Avenue of the Americas
"{'x': -73.999834, 'y': 40.7582165}",Thursday,3,9,2020-02-13 17:41:00+00:00,W 39th St (9th Ave),POINT (-73.99983400000001 40.7582165),17.0,TTL5159066042412000,40.7582165,638,-73.99983399999998,Lincoln Tunnel (9th Ave)
"{'x': -73.9973126, 'y': 40.7321984}",Thursday,1,2,2020-02-13 17:57:00+00:00,8th Ave (W 14th St),POINT (-73.9973126 40.7321984),17.0,TTL5160220173605000,40.7321984,1020,-73.99731259999999,2nd Ave (E 14th St)
"{'x': -73.9906454, 'y': 40.7473513}",Thursday,2,3,2020-02-13 17:43:00+00:00,6th Ave/Avenue of the Americas (W 23rd St),POINT (-73.99064540000001 40.7473513),17.0,TTL5159643115212009,40.7473513,465,-73.9906454,8th Ave (W 23rd St)
"{'x': -73.9880398, 'y': 40.7499511}",Monday,0,13,2020-03-09 03:59:59+00:00,34th St (8th Ave),POINT (-73.9880398 40.7499511),3.0,TTR5159066028004002,40.7499511,52,-73.9880398,W 42nd St (8th Ave)
"{'x': -73.9899838, 'y': 40.7536146}",Thursday,3,9,2020-02-13 17:51:00+00:00,7th Ave (W 31st St),POINT (-73.9899838 40.7536146),17.0,TTL5160220238414004,40.7536146,444,-73.9899838,NY-495/Lincoln Tunnel Expy/Dyer Ave (W 31st St)
"{'x': -73.989257, 'y': 40.7435498}",Thursday,2,3,2020-02-13 17:44:00+00:00,5th Ave (19th St),POINT (-73.98925699999999 40.7435498),17.0,TTL5160220209606005,40.7435498,498,-73.989257,7th Ave (W 19th St)
"{'x': -73.9892001, 'y': 40.7548544}",Monday,0,4,2020-03-09 04:43:59+00:00,Manhattan,POINT (-73.98920010000001 40.7548544),4.0,TTR5159643144007028,40.7548544,175,-73.98920009999998,8th Ave
"{'x': -73.9969625, 'y': 40.7519698}",Monday,0,13,2020-03-09 03:59:59+00:00,W 34th St (7th Ave),POINT (-73.9969625 40.7519698),3.0,TTR5159643136804006,40.7519698,18,-73.9969625,W 23rd St (7th Ave)
"{'x': -73.9886032, 'y': 40.7417494}",Thursday,2,3,2020-02-13 17:41:00+00:00,Broadway,POINT (-73.9886032 40.7417494),17.0,TTL5160220209605000,40.7417494,647,-73.9886032,7th Ave
"{'x': -73.9943014, 'y': 40.7454954}",Thursday,1,2,2020-02-13 17:41:00+00:00,7th Ave (W 32nd St),POINT (-73.9943014 40.7454954),17.0,TTL5159643129605000,40.7454954,248,-73.99430140000003,6th Ave/Avenue of the Americas/Broadway (W 32nd St)
"{'x': -73.9941684, 'y': 40.7372412}",Thursday,2,3,2020-02-13 17:52:00+00:00,Avenue of the Americas,POINT (-73.99416840000001 40.7372412),17.0,TTL5160797289614000,40.7372412,711,-73.9941684,3rd Ave
"{'x': -73.9941254, 'y': 40.7356749}",Thursday,1,2,2020-02-13 17:41:00+00:00,5th Ave / W 20th St,POINT (-73.9941254 40.7356749),17.0,TTL5160797289614002,40.7356749,468,-73.9941254,Irving Pl
"{'x': -73.9841148, 'y': 40.7311762}",Thursday,1,2,2020-02-13 17:41:00+00:00,Astor Pl (Cooper Sq/4th Ave),POINT (-73.9841148 40.7311762),17.0,TTL5161374346404021,40.73117620000001,376,-73.98411479999999,Union Sq (4th Ave)
"{'x': -73.9928382, 'y': 40.7303102}",Thursday,2,3,2020-02-13 17:41:00+00:00,Union Sq E / 4th Ave,POINT (-73.99283819999999 40.7303102),17.0,TTL5160797260806003,40.7303102,262,-73.9928382,3rd Ave
"{'x': -73.986535, 'y': 40.737472}",Thursday,2,3,2020-02-13 17:41:00+00:00,2nd Ave (E 14th St),POINT (-73.986535 40.737472),17.0,TTL5161374369604005,40.737472,262,-73.986535,5th Ave (14th St)
"{'x': -73.9831401, 'y': 40.7348413}",Tuesday,0,4,2020-02-25 05:43:59+00:00,E 17th St (Park Ave),POINT (-73.9831401 40.7348413),5.0,TTR5160797282404001,40.73484129999999,74,-73.9831401,E 23rd St (Park Ave)
"{'x': -73.9824151, 'y': 40.7330261}",Friday,0,4,2020-03-13 04:43:59+00:00,E 16th St,POINT (-73.9824151 40.7330261),4.0,TTR5160797253606001,40.7330261,75,-73.9824151,E 17th St
"{'x': -73.9847559, 'y': 40.7547585}",Thursday,3,9,2020-02-13 17:50:00+00:00,Broadway,POINT (-73.9847559 40.7547585),17.0,TTL5159066049606011,40.7547585,498,-73.9847559,8th Ave
"{'x': -73.9846702, 'y': 40.7481234}",Thursday,1,2,2020-02-13 17:41:00+00:00,5th Ave / E 27th St,POINT (-73.9846702 40.7481234),17.0,TTL5159643115206001,40.7481234,582,-73.98467020000002,7th Ave
"{'x': -73.9829298, 'y': 40.7506176}",Thursday,2,3,2020-02-13 17:51:00+00:00,Park Ave S (E 31st St),POINT (-73.98292979999999 40.7506176),17.0,TTL5160220238414006,40.75061760000001,309,-73.9829298,7th Ave (W 31st St)
"{'x': -73.9823266, 'y': 40.752858}",Thursday,2,3,2020-02-13 17:41:00+00:00,E 34th St/5th Ave (W 34th St),POINT (-73.98232659999999 40.752858),17.0,TTL5159643144001002,40.752858,784,-73.9823266,8th Ave (W 34th St)
"{'x': -73.9809344, 'y': 40.7547544}",Thursday,1,2,2020-02-13 17:46:00+00:00,5th Ave / E 37th St,POINT (-73.9809344 40.7547544),17.0,TTL5160220238414002,40.7547544,1330,-73.98093440000002,10th Ave
"{'x': -73.977962, 'y': 40.7449265}",Thursday,3,9,2020-02-13 18:50:00+00:00,E 23rd St (Madison Ave),POINT (-73.97796200000001 40.7449265),18.0,TTL5160220216822002,40.7449265,801,-73.977962,E 57th St (Madison Ave)
"{'x': -73.9863414, 'y': 40.7373131}",Tuesday,0,10,2020-03-03 05:43:59+00:00,Park Ave S,POINT (-73.9863414 40.7373131),5.0,TTR5160797289606001,40.7373131,156,-73.98634140000001,3rd Ave
"{'x': -73.9789985, 'y': 40.7473443}",Thursday,1,2,2020-02-13 18:01:00+00:00,Lexington Ave,POINT (-73.9789985 40.7473443),18.0,TTL5160220238406005,40.7473443,1597,-73.9789985,9th Ave
"{'x': -73.977999, 'y': 40.7403381}",Thursday,3,9,2020-02-13 18:05:00+00:00,1st Ave,POINT (-73.977999 40.7403381),18.0,TTL5160797275206006,40.7403381,826,-73.977999,Broadway
"{'x': -73.9776221, 'y': 40.7517378}",Thursday,2,3,2020-02-13 17:53:00+00:00,Tunnel Exit St,POINT (-73.9776221 40.7517378),17.0,TTL5160220238406011,40.7517378,629,-73.97762209999998,Broadway
"{'x': -73.9735926, 'y': 40.7480129}",Wednesday,0,7,2020-04-01 04:44:00+00:00,E 34th St (Park Ave),POINT (-73.9735926 40.7480129),4.0,TTR5160220216805003,40.7480129,50,-73.9735926,E 42nd St (Park Ave)
"{'x': -73.9839134, 'y': 40.753328}",Wednesday,0,4,2020-04-01 03:59:00+00:00,E 42nd St (Park Ave),POINT (-73.98391340000001 40.753328),3.0,TTR5160220231205000,40.753328,42,-73.9839134,E 34th St (Park Ave)
"{'x': -73.981645, 'y': 40.7566898}",Thursday,2,3,2020-02-13 17:48:00+00:00,Avenue of the Americas,POINT (-73.981645 40.7566898),17.0,TTL5160220252806016,40.7566898,696,-73.981645,Lexington Ave
"{'x': -73.9724606, 'y': 40.7355911}",Thursday,1,2,2020-02-13 17:42:00+00:00,23rd St (1st Ave),POINT (-73.97246060000001 40.7355911),17.0,TTL5160797282405004,40.7355911,843,-73.97246059999998,37th St (1st Ave)
"{'x': -73.9723407, 'y': 40.7497502}",Sunday,0,13,2022-01-02 04:59:59+00:00,E 34th St (Park Ave),POINT (-73.9723407 40.7497502),4.0,TTR5160220216805002,40.7497502,33,-73.9723407,E 42nd St (Park Ave)
"{'x': -73.9806841, 'y': 40.7595537}",Thursday,4,5,2020-02-13 18:28:55+00:00,Avenue of the Americas,POINT (-73.9806841 40.7595537),18.0,TTR5159066092814002,40.7595537,312,-73.98068409999998,5th Ave / E 56th St
"{'x': -73.9806841, 'y': 40.7595537}",Thursday,0,14,2020-02-13 18:28:55+00:00,Avenue of the Americas,POINT (-73.9806841 40.7595537),18.0,TTR5159066092814003,40.7595537,312,-73.98068409999998,5th Ave / E 56th St
"{'x': -73.9831353, 'y': 40.7543131}",Sunday,0,13,2022-01-02 04:59:59+00:00,E 42nd St (Park Ave),POINT (-73.9831353 40.7543131),4.0,TTR5159643136805002,40.7543131,33,-73.9831353,E 34th St (Park Ave)
"{'x': -73.9744266, 'y': 40.7421906}",Thursday,1,2,2020-02-13 17:42:00+00:00,1st Ave,POINT (-73.9744266 40.7421906),17.0,TTL5161374398406001,40.7421906,441,-73.9744266,3rd Ave
"{'x': -73.9803314, 'y': 40.7380196}",Thursday,3,9,2020-02-13 17:41:00+00:00,2nd Ave (E 30th St),POINT (-73.9803314 40.7380196),17.0,TTL5161374384006002,40.7380196,203,-73.9803314,1st Ave (E 30th St)
"{'x': -73.9720422, 'y': 40.7530356}",Thursday,2,3,2020-02-13 18:50:00+00:00,E 42nd St (Madison Ave),POINT (-73.9720422 40.7530356),18.0,TTL5159643180014001,40.7530356,1285,-73.9720422,E 65th St/E 66th St (Madison Ave)
"{'x': -73.9799982, 'y': 40.7460754}",Thursday,1,2,2020-02-13 17:41:00+00:00,Lexington Ave,POINT (-73.9799982 40.7460754),17.0,TTL5160797318406002,40.7460754,595,-73.97999820000003,1st Ave
"{'x': -73.9739425, 'y': 40.7584166}",Thursday,3,9,2020-02-13 17:45:00+00:00,Park Ave,POINT (-73.97394250000001 40.7584166),17.0,TTL5159643172806005,40.7584166,529,-73.9739425,Avenue of the Americas
"{'x': -73.9737037, 'y': 40.763241}",Thursday,1,2,2020-02-13 17:41:00+00:00,5th Ave (51st St),POINT (-73.9737037 40.763241),17.0,TTL5159066078414000,40.763241,586,-73.9737037,Broadway (W 51st St)
"{'x': -73.9797578, 'y': 40.7609383}",Thursday,2,3,2020-02-13 17:41:00+00:00,W 59th St exit [8],POINT (-73.9797578 40.7609383),17.0,TTL5158488998414004,40.7609383,312,-73.9797578,5th Ave / E 58th St
"{'x': -73.9710402, 'y': 40.7528005}",Sunday,0,4,2020-03-15 04:43:59+00:00,E 46th St,POINT (-73.9710402 40.7528005),4.0,TTR5159643151206002,40.7528005,79,-73.9710402,E 47th St
"{'x': -73.9795465, 'y': 40.7508914}",Thursday,2,3,2020-02-13 17:41:00+00:00,Vanderbilt Ave,POINT (-73.9795465 40.7508914),17.0,TTL5159643158406008,40.7508914,224,-73.9795465,Lexington Ave
"{'x': -73.9708513, 'y': 40.7460202}",Thursday,1,2,2020-02-13 17:42:00+00:00,E 34th St (3rd Ave),POINT (-73.97085130000001 40.7460202),17.0,TTL5160220245621000,40.7460202,1360,-73.97085129999998,E 57th St (3rd Ave)
"{'x': -73.9725019, 'y': 40.7594544}",Sunday,0,4,2020-03-15 04:43:59+00:00,Park Ave,POINT (-73.9725019 40.7594544),4.0,TTR5159643172806004,40.7594544,144,-73.97250190000003,Madison Ave
