coord,day,delay,description,end_date,from,geometry,hour,id,latitude,length,longitude,to
"{'x': -74.0020953, 'y': 40.7471893}",Wednesday,2,3,2020-02-19 15:28:00+00:00,Lincoln Tunnel (W 30th St),POINT (-74.00209529999999 40.7471893),15.0,TTL5159643129604016,40.7471893,1023,-74.0020953,Broadway (W 30th St)
"{'x': -74.0019494, 'y': 40.7405281}",Wednesday,1,2,2020-02-19 15:04:00+00:00,8th Ave,POINT (-74.0019494 40.7405281),15.0,TTL5160220195206002,40.7405281,924,-74.0019494,Broadway
"{'x': -74.0016691, 'y': 40.730677}",Wednesday,3,9,2020-02-19 15:18:00+00:00,Avenue of the Americas,POINT (-74.0016691 40.730677),15.0,TTL5160797260806007,40.730677,312,-74.0016691,5th Ave / E 10th St
"{'x': -74.0015445, 'y': 40.75024}",Wednesday,3,9,2020-02-19 15:17:00+00:00,10th Ave (W 34th St),POINT (-74.00154449999999 40.75024),15.0,TTL5159643129609009,40.75024000000001,776,-74.0015445,7th Ave/Fashion Ave (W 34th St)
"{'x': -73.9931385, 'y': 40.7429512}",Tuesday,0,13,2020-02-25 04:59:59+00:00,W 23rd St (8th Ave),POINT (-73.9931385 40.7429512),4.0,TTR5159643093604001,40.74295120000001,84,-73.9931385,30th St (8th Ave)
"{'x': -74.0014833, 'y': 40.7411996}",Wednesday,2,3,2020-02-19 15:03:00+00:00,8th Ave (W 23rd St),POINT (-74.0014833 40.7411996),15.0,TTL5159643100812003,40.7411996,275,-74.0014833,7th Ave (W 23rd St)
"{'x': -74.0013855, 'y': 40.7534437}",Wednesday,2,3,2020-02-19 15:09:00+00:00,Lincoln Tunl E / 11th Ave,POINT (-74.0013855 40.7534437),15.0,TTL5159066064006000,40.75344370000001,927,-74.0013855,7th Ave
"{'x': -74.0009855, 'y': 40.7288532}",Wednesday,1,2,2020-02-19 15:03:00+00:00,Avenue of the Americas / Greenwich Ave,POINT (-74.0009855 40.7288532),15.0,TTL5160797260813000,40.7288532,537,-74.0009855,Broadway
"{'x': -73.9956956, 'y': 40.7627742}",Wednesday,3,9,2020-02-19 15:03:00+00:00,Lincoln Tunl W,POINT (-73.9956956 40.7627742),15.0,TTL5158488982406000,40.7627742,66,-73.99569559999998,W 39th St
"{'x': -73.991919, 'y': 40.7547917}",Wednesday,1,2,2020-02-19 15:03:00+00:00,W 34th St (10th Ave),POINT (-73.991919 40.7547917),15.0,TTL5158488991220018,40.7547917,567,-73.991919,W 56th St (10th Ave)
